
n = 10000	Time: 0.063

n = 20000	Time: 0.304

n = 30000	Time: 0.844

n = 40000	Time: 1.802

n = 50000	Time: 3.298

n = 60000	Time: 5.454

n = 70000	Time: 8.397

n = 80000	Time: 12.259

n = 90000	Time: 17.125

n = 100000	Time: 23.215

n = 110000	Time: 30.659

n = 120000	Time: 39.619

n = 130000	Time: 49.87

n = 140000	Time: 61.794

n = 150000	Time: 75.556

n = 160000	Time: 91.124

n = 170000	Time: 108.708

n = 180000	Time: 128.736

n = 190000	Time: 150.734

n = 200000	Time: 175.435

n = 210000	Time: 203.021

n = 220000	Time: 233.554

n = 230000	Time: 266.845

n = 240000	Time: 303.095

n = 250000	Time: 342.487
