
n = 10000	Time: 0.002

n = 20000	Time: 0.005

n = 30000	Time: 0.008

n = 40000	Time: 0.015

n = 50000	Time: 0.022

n = 60000	Time: 0.03

n = 70000	Time: 0.04

n = 80000	Time: 0.052

n = 90000	Time: 0.064

n = 100000	Time: 0.077

n = 110000	Time: 0.092

n = 120000	Time: 0.11

n = 130000	Time: 0.127

n = 140000	Time: 0.146

n = 150000	Time: 0.167

n = 160000	Time: 0.192

n = 170000	Time: 0.218

n = 180000	Time: 0.243

n = 190000	Time: 0.269

n = 200000	Time: 0.298

n = 210000	Time: 0.328

n = 220000	Time: 0.361

n = 230000	Time: 0.395

n = 240000	Time: 0.431

n = 250000	Time: 0.469
