
n = 10000	Time: 0.001

n = 20000	Time: 0.003

n = 30000	Time: 0.005

n = 40000	Time: 0.005

n = 50000	Time: 0.008

n = 60000	Time: 0.01

n = 70000	Time: 0.011

n = 80000	Time: 0.013

n = 90000	Time: 0.016

n = 100000	Time: 0.017

n = 110000	Time: 0.02

n = 120000	Time: 0.022

n = 130000	Time: 0.024

n = 140000	Time: 0.025

n = 150000	Time: 0.027

n = 160000	Time: 0.03

n = 170000	Time: 0.032

n = 180000	Time: 0.035

n = 190000	Time: 0.037

n = 200000	Time: 0.042

n = 210000	Time: 0.043

n = 220000	Time: 0.045

n = 230000	Time: 0.045

n = 240000	Time: 0.046

n = 250000	Time: 0.049
