
n = 10000	Time: 0.002

n = 20000	Time: 0.003

n = 30000	Time: 0.004

n = 40000	Time: 0.006

n = 50000	Time: 0.008

n = 60000	Time: 0.008

n = 70000	Time: 0.01

n = 80000	Time: 0.014

n = 90000	Time: 0.014

n = 100000	Time: 0.015

n = 110000	Time: 0.018

n = 120000	Time: 0.019

n = 130000	Time: 0.021

n = 140000	Time: 0.023

n = 150000	Time: 0.025

n = 160000	Time: 0.029

n = 170000	Time: 0.029

n = 180000	Time: 0.031

n = 190000	Time: 0.034

n = 200000	Time: 0.036

n = 210000	Time: 0.04

n = 220000	Time: 0.041

n = 230000	Time: 0.043

n = 240000	Time: 0.045

n = 250000	Time: 0.047
