
n = 10000	Time: 0.001

n = 20000	Time: 0.005

n = 30000	Time: 0.011

n = 40000	Time: 0.018

n = 50000	Time: 0.027

n = 60000	Time: 0.038

n = 70000	Time: 0.051

n = 80000	Time: 0.067

n = 90000	Time: 0.083

n = 100000	Time: 0.104

n = 110000	Time: 0.125

n = 120000	Time: 0.147

n = 130000	Time: 0.173

n = 140000	Time: 0.201

n = 150000	Time: 0.23

n = 160000	Time: 0.264

n = 170000	Time: 0.301

n = 180000	Time: 0.339

n = 190000	Time: 0.379

n = 200000	Time: 0.421

n = 210000	Time: 0.467

n = 220000	Time: 0.511

n = 230000	Time: 0.562

n = 240000	Time: 0.614

n = 250000	Time: 0.668
