
n = 10000	Time: 0.001

n = 20000	Time: 0.004

n = 30000	Time: 0.004

n = 40000	Time: 0.006

n = 50000	Time: 0.008

n = 60000	Time: 0.01

n = 70000	Time: 0.012

n = 80000	Time: 0.013

n = 90000	Time: 0.015

n = 100000	Time: 0.017

n = 110000	Time: 0.019

n = 120000	Time: 0.02

n = 130000	Time: 0.022

n = 140000	Time: 0.025

n = 150000	Time: 0.027

n = 160000	Time: 0.03

n = 170000	Time: 0.034

n = 180000	Time: 0.033

n = 190000	Time: 0.035

n = 200000	Time: 0.039

n = 210000	Time: 0.04

n = 220000	Time: 0.042

n = 230000	Time: 0.05

n = 240000	Time: 0.048

n = 250000	Time: 0.048
