
n = 10000	Time: 0.002

n = 20000	Time: 0.006

n = 30000	Time: 0.012

n = 40000	Time: 0.017

n = 50000	Time: 0.023

n = 60000	Time: 0.032

n = 70000	Time: 0.039

n = 80000	Time: 0.049

n = 90000	Time: 0.058

n = 100000	Time: 0.067

n = 110000	Time: 0.077

n = 120000	Time: 0.087

n = 130000	Time: 0.099

n = 140000	Time: 0.111

n = 150000	Time: 0.122

n = 160000	Time: 0.135

n = 170000	Time: 0.147

n = 180000	Time: 0.162

n = 190000	Time: 0.174

n = 200000	Time: 0.191

n = 210000	Time: 0.202

n = 220000	Time: 0.214

n = 230000	Time: 0.231

n = 240000	Time: 0.245

n = 250000	Time: 0.261
